id,flight_num,start_date,end_date,days,depature_airport,depature_terminal,depature_time,arrival_airport,arrival_terminal,arrival_time,aircraft_type,config,flight_time,transport_type
1,6,2025-05-11 00:00:00,2025-05-22 00:00:00,1 _ 3 4 _ 6 7 ,SVO,B,04:15:00,LED,1,05:45:00,32B,C16Y167,01:30:00,S
2,6,2025-05-13 00:00:00,2025-06-13 00:00:00,_ 2 _ _ 5 _ _ ,SVO,B,04:15:00,LED,1,05:45:00,32A,C8Y150,01:30:00,S
3,6,2025-05-24 00:00:00,2025-05-26 00:00:00,1 _ _ _ _ 6 _ ,SVO,B,04:15:00,LED,1,05:45:00,32A,C8Y150,01:30:00,S
4,6,2025-05-25 00:00:00,2025-05-29 00:00:00,_ _ 3 4 _ _ 7 ,SVO,B,04:15:00,LED,1,05:45:00,32B,C16Y167,01:30:00,S
5,6,2025-05-31 00:00:00,2025-05-31 00:00:00,_ _ _ _ _ 6 _ ,SVO,B,04:15:00,LED,1,05:45:00,321,C28Y142,01:30:00,S
6,7,2025-05-11 00:00:00,2025-05-22 00:00:00,1 _ 3 4 _ 6 7 ,LED,1,06:45:00,SVO,B,08:10:00,32B,C16Y167,01:25:00,S
7,7,2025-05-13 00:00:00,2025-06-13 00:00:00,_ 2 _ _ 5 _ _ ,LED,1,06:55:00,SVO,B,08:20:00,32A,C8Y150,01:25:00,S
8,7,2025-05-24 00:00:00,2025-05-26 00:00:00,1 _ _ _ _ 6 _ ,LED,1,06:45:00,SVO,B,08:10:00,32A,C8Y150,01:25:00,S
9,7,2025-05-25 00:00:00,2025-05-29 00:00:00,_ _ 3 4 _ _ 7 ,LED,1,06:45:00,SVO,B,08:10:00,32B,C16Y167,01:25:00,S
10,7,2025-05-31 00:00:00,2025-05-31 00:00:00,_ _ _ _ _ 6 _ ,LED,1,06:45:00,SVO,B,08:10:00,321,C28Y142,01:25:00,S
11,8,2025-05-16 00:00:00,2025-05-16 00:00:00,_ _ _ _ 5 _ _ ,SVO,B,18:30:00,LED,1,19:55:00,73H,C20Y138,01:25:00,S
12,8,2025-05-24 00:00:00,2025-05-24 00:00:00,_ _ _ _ _ 6 _ ,SVO,B,08:30:00,LED,1,09:55:00,73H,C20Y138,01:25:00,S
13,9,2025-05-13 00:00:00,2025-05-13 00:00:00,_ 2 _ _ _ _ _ ,LED,1,04:00:00,SVO,B,05:25:00,73H,C20Y138,01:25:00,S
14,9,2025-05-19 00:00:00,2025-05-19 00:00:00,1 _ _ _ _ _ _ ,LED,1,07:30:00,SVO,B,09:00:00,73H,C20Y138,01:30:00,S
15,10,2025-05-11 00:00:00,2025-05-11 00:00:00,_ _ _ _ _ _ 7 ,SVO,B,06:45:00,LED,1,08:15:00,32A,C8Y150,01:30:00,S
